,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_with_curr_manager,rate_avg
0,41,1,2,1102,2,1,2,1,1,2,0,94,3,2,7,4,2,19479,8,1,11,3,1,0,8,0,1,6,4,5,6891.666666666667
1,49,0,1,279,1,8,1,1,2,3,1,61,2,2,6,2,1,24907,1,0,23,4,4,1,10,3,3,10,7,7,8415.666666666666
2,37,1,2,1373,1,2,2,4,4,4,1,92,2,1,2,3,2,2396,6,1,15,3,2,0,7,3,3,0,0,0,1287.0
3,33,0,1,1392,1,3,4,1,5,4,0,56,3,1,6,3,1,23159,1,1,11,3,3,0,8,3,3,8,7,0,8202.333333333334
4,27,0,2,591,1,2,1,3,7,1,1,40,3,1,2,2,1,16632,9,0,12,3,4,1,6,3,3,2,2,2,5754.333333333333
5,32,0,1,1005,1,2,2,1,8,4,1,79,3,1,2,4,2,11864,0,0,13,3,3,0,8,2,2,7,7,6,4316.0
6,59,0,2,1324,1,3,3,3,10,3,0,81,4,1,2,1,1,9964,4,1,20,4,1,3,12,3,2,1,0,0,3789.6666666666665
7,30,0,2,1358,1,24,1,1,11,4,1,67,3,1,2,3,0,13335,1,0,22,4,2,1,1,2,3,1,0,0,4920.0
8,38,0,1,216,1,23,3,1,12,4,1,44,2,3,4,3,2,8787,0,0,21,4,2,0,10,2,3,9,7,8,3015.6666666666665
9,36,0,2,1299,1,27,3,3,13,3,1,94,3,2,0,3,1,16577,6,0,13,3,2,2,17,3,2,7,7,7,5990.0
10,35,0,2,809,1,16,3,3,14,1,1,84,4,1,2,2,1,16479,0,0,13,3,3,1,6,5,3,5,4,3,5790.666666666667
11,29,0,2,153,1,15,2,1,15,4,0,49,2,2,2,3,2,12682,0,1,12,3,4,0,10,3,3,9,5,8,4294.666666666667
12,31,0,2,670,1,26,1,1,16,1,1,31,3,1,6,3,0,15170,1,0,17,3,4,1,5,1,2,5,2,3,5290.333333333333
13,34,0,2,1346,1,19,2,3,18,2,1,93,3,1,2,4,0,8758,0,0,11,3,3,1,3,2,3,2,2,2,3399.0
14,28,1,2,103,1,24,3,1,19,3,1,50,2,1,2,3,2,12947,5,1,14,3,2,0,6,4,3,4,2,3,4366.666666666667
15,29,0,2,1389,1,21,4,1,20,2,0,51,4,3,4,1,0,10195,1,0,11,3,3,1,10,1,3,10,9,8,3878.3333333333335
16,32,0,2,334,1,5,2,1,21,1,1,80,4,1,6,2,0,15053,0,1,12,3,4,2,7,5,2,6,2,5,5155.666666666667
17,22,0,0,1123,1,16,2,3,22,4,1,96,4,1,2,4,0,7324,1,1,13,3,2,2,1,2,2,1,0,0,2847.6666666666665
18,53,0,2,1219,2,2,4,1,23,1,0,78,2,4,3,4,1,22021,2,0,16,3,3,0,31,3,3,25,8,7,7772.666666666667
19,38,0,2,371,1,2,3,1,24,4,1,45,3,1,6,4,2,4306,5,1,11,3,3,0,6,3,3,3,2,2,1574.0
20,24,0,0,673,1,11,2,4,26,1,0,96,4,2,4,3,0,8232,0,0,18,3,4,1,5,5,2,4,2,3,3000.3333333333335
21,36,1,2,1218,2,9,4,1,27,3,1,82,2,1,8,1,2,6986,7,0,23,4,2,0,10,4,3,5,3,3,2762.0
22,34,0,2,419,1,7,4,1,28,1,0,53,3,3,5,2,2,21293,0,0,11,3,3,0,13,4,3,12,6,11,7255.0
23,21,0,2,391,1,15,2,1,30,3,1,96,3,1,6,4,2,19281,1,0,14,3,4,0,0,6,3,0,0,0,6589.333333333333
24,34,1,2,699,1,6,1,3,31,2,1,83,3,1,6,1,2,17102,2,0,11,3,3,0,8,2,3,4,2,3,5961.333333333333
25,53,0,2,1282,1,5,3,4,32,3,0,58,3,5,3,3,0,10735,4,0,11,3,4,1,26,3,2,14,13,8,4025.0
26,32,1,1,1125,1,16,1,1,33,2,0,72,1,1,6,1,2,4681,1,1,22,4,2,0,10,5,3,10,2,7,1959.3333333333333
27,42,0,2,691,2,8,4,2,35,3,1,48,3,2,7,2,1,21173,0,0,11,3,4,1,10,2,3,9,7,2,7304.0
28,44,0,2,477,1,7,4,3,36,1,0,42,2,3,0,4,1,2094,3,0,14,3,4,1,24,4,3,22,6,17,871.0
29,46,0,2,705,2,2,4,2,38,2,0,83,3,5,3,1,2,22822,3,0,12,3,4,0,22,2,2,2,2,1,7870.0
30,33,0,2,924,1,2,3,3,39,3,1,78,3,1,2,4,2,6670,4,0,11,3,4,0,7,3,3,1,1,0,2557.3333333333335
31,44,0,2,1459,1,10,4,4,40,4,1,41,3,2,0,4,1,19121,2,1,13,3,4,0,9,5,4,4,2,3,6873.666666666667
32,30,0,2,125,1,9,2,3,41,4,1,83,2,1,2,3,2,16117,1,0,13,3,1,0,10,5,3,10,0,8,5441.666666666667
33,39,1,2,895,2,5,3,5,42,4,1,56,3,2,8,4,1,3335,3,0,14,3,3,1,19,6,4,1,0,0,1428.6666666666667
34,24,1,2,813,1,1,3,3,45,2,1,61,3,1,6,4,1,3020,2,1,16,3,1,1,6,2,2,2,0,0,1298.0
35,43,0,2,1273,1,2,2,3,46,4,0,72,4,1,6,3,0,21923,1,0,12,3,4,2,6,3,2,5,3,4,7756.0
36,50,1,2,869,2,3,2,2,47,1,1,86,2,1,8,3,1,3810,1,1,14,3,3,0,3,2,3,3,2,2,1588.3333333333333
37,35,0,2,890,2,2,3,2,49,4,0,97,3,1,8,4,1,9687,1,0,13,3,1,0,2,3,3,2,2,2,3558.0
38,36,0,2,852,1,5,4,1,51,2,0,82,2,1,6,1,1,13072,9,1,14,3,4,1,6,3,4,1,1,0,4668.666666666667
39,33,0,1,1141,2,1,3,1,52,3,0,42,4,2,7,1,1,3193,2,0,19,3,1,2,10,3,3,5,3,3,1458.6666666666667
40,35,0,2,464,1,4,2,4,53,3,1,75,3,1,2,4,0,10910,1,0,12,3,3,1,1,3,3,1,0,0,3816.3333333333335
41,27,0,2,1240,1,2,4,1,54,4,0,33,3,1,2,1,0,19715,1,0,13,3,4,1,1,6,3,1,0,0,6996.0
42,26,1,2,1357,1,25,3,1,55,1,1,48,1,1,2,3,2,10558,1,0,12,3,3,0,1,2,2,1,0,1,3987.6666666666665
43,27,0,1,994,2,8,3,1,56,4,1,37,3,3,7,3,2,2975,1,0,15,3,4,0,9,0,3,9,8,7,1335.3333333333333
44,30,0,1,721,1,1,2,3,57,3,0,58,3,2,2,4,2,10781,1,0,23,4,4,0,12,2,3,12,8,7,3853.3333333333335
45,41,1,2,1360,1,12,3,5,58,2,0,49,3,5,5,3,1,16280,1,0,12,3,4,0,23,0,3,22,15,8,5896.333333333333
46,34,0,0,1065,2,23,4,2,60,2,1,72,3,2,7,3,2,10034,0,0,20,4,3,0,10,2,3,9,5,7,3723.6666666666665
47,37,0,2,408,1,19,2,1,61,2,1,73,3,1,6,2,1,10227,4,0,21,4,1,0,8,1,3,1,0,0,3569.3333333333335
48,46,0,1,1211,2,5,4,2,62,1,1,98,3,2,7,4,2,20445,4,1,21,4,3,0,14,4,3,9,6,8,7251.333333333333
49,35,0,2,1229,1,8,1,1,63,4,1,36,4,1,2,4,1,4892,1,0,19,3,4,0,1,2,3,1,0,1,2052.3333333333335
50,48,1,2,626,1,1,2,1,64,1,1,98,2,3,2,3,2,19294,9,1,13,3,4,0,23,2,3,1,0,0,6672.666666666667
51,28,1,2,1434,1,5,4,5,65,3,1,50,3,1,2,3,2,11179,1,1,13,3,3,0,2,3,2,2,2,2,4221.0
52,44,0,2,1488,2,1,5,2,68,2,0,75,3,2,7,1,0,4009,5,1,21,4,3,1,9,2,2,4,3,3,1857.3333333333333
53,35,0,0,1097,1,11,2,3,70,3,1,79,2,3,0,1,1,8302,2,1,13,3,3,1,10,3,3,4,0,3,3159.3333333333335
54,26,0,2,1443,2,23,3,2,72,3,0,47,2,2,7,4,1,21436,7,1,19,3,3,1,5,2,2,2,2,0,7642.0
55,33,0,1,515,1,1,2,1,73,1,0,98,3,3,5,4,2,15146,1,1,12,3,3,0,15,1,3,15,14,12,5253.0
56,35,0,1,853,2,18,5,1,74,2,1,71,3,3,7,1,1,11031,1,0,22,4,4,1,9,3,2,9,8,8,3985.0
57,35,0,2,1142,1,23,4,3,75,3,0,30,3,1,2,1,1,16002,3,1,15,3,3,1,4,3,3,2,2,2,5724.666666666667
58,31,0,2,655,1,7,4,1,76,4,1,48,3,2,2,4,0,9528,3,0,22,4,4,1,10,3,2,7,7,7,3410.3333333333335
59,37,0,2,1115,1,1,4,1,77,1,1,51,2,2,4,3,0,2689,1,0,18,3,3,1,7,2,4,7,5,7,1285.0
60,32,0,2,427,1,1,3,3,78,1,1,33,3,2,4,4,1,10877,1,1,22,4,2,1,9,3,3,9,8,8,3779.0
61,38,0,1,653,1,29,5,1,79,4,0,50,3,2,2,4,2,5456,1,0,11,3,4,0,10,2,3,10,3,9,2053.0
62,50,0,2,989,1,7,2,3,80,2,0,43,2,5,5,3,0,16701,5,1,12,3,4,1,29,2,2,27,3,8,5911.0
63,59,0,2,1435,2,25,3,1,81,1,0,99,3,3,7,1,2,2354,7,0,11,3,4,0,28,3,2,21,16,9,1296.0
64,36,0,2,1223,1,8,3,5,83,3,0,59,3,3,0,3,0,8202,1,0,13,3,2,3,17,2,3,17,14,8,3161.3333333333335
65,55,0,2,836,1,8,3,3,84,4,0,33,3,4,3,3,0,19730,2,1,14,3,3,3,21,2,3,5,0,2,6866.333333333333
66,36,0,1,1195,1,11,3,1,85,2,1,95,2,2,4,2,2,22656,1,0,13,3,3,0,6,3,3,6,5,3,7982.0
67,45,0,2,1339,1,7,3,1,86,2,1,59,3,3,6,1,0,18787,2,0,17,3,3,1,25,2,3,1,0,0,6728.333333333333
68,35,0,1,664,1,1,3,3,88,2,1,79,3,1,6,1,1,5868,4,0,13,3,4,1,5,2,2,3,2,2,2203.6666666666665
69,36,1,2,318,1,9,3,3,90,4,1,79,2,1,6,3,1,21777,0,1,17,3,1,1,2,0,2,1,0,0,7391.333333333333
70,59,0,1,1225,2,1,1,1,91,1,0,57,2,2,7,3,2,24668,7,0,11,3,4,0,20,2,2,4,3,3,8650.0
71,29,0,2,1328,1,2,3,1,94,3,1,76,3,1,6,2,1,4956,0,0,23,4,4,1,6,3,3,5,4,4,2120.0
72,31,0,2,1082,1,1,4,3,95,3,1,87,3,1,6,2,2,18775,1,0,17,3,2,0,1,4,3,1,1,0,6648.0
73,32,0,2,548,1,1,3,1,96,2,1,66,3,2,6,2,1,7346,1,0,17,3,2,2,10,3,3,10,4,9,2653.3333333333335
74,36,0,2,132,1,6,3,1,97,2,0,55,4,1,2,4,1,22002,3,0,12,3,2,0,5,3,3,1,0,0,7396.333333333333
75,31,0,2,746,1,8,4,1,98,3,0,61,3,2,4,4,2,20682,1,0,23,4,4,0,11,2,3,11,7,8,7163.0
76,35,0,2,776,2,1,4,2,100,3,1,32,2,2,7,1,2,23016,0,0,14,3,2,0,16,2,3,15,13,8,7941.333333333333
77,45,0,2,193,1,6,4,4,101,4,1,52,3,3,5,1,1,15067,4,1,14,3,2,0,17,3,4,0,0,0,5104.0
78,37,0,2,397,1,7,4,3,102,1,1,30,3,3,5,3,2,25258,4,0,13,3,1,0,16,3,4,5,2,2,8561.666666666666
79,46,0,2,945,0,5,2,3,103,2,1,80,3,2,1,2,0,10425,8,1,22,4,4,1,16,2,3,4,2,2,3816.6666666666665
80,30,0,2,852,1,1,1,1,104,4,1,55,2,2,2,4,1,15998,1,1,12,3,3,2,10,1,2,10,8,0,5635.0
81,35,0,2,1214,1,1,3,3,105,2,1,30,2,1,6,3,2,26278,1,0,18,3,1,0,6,3,3,6,4,4,9174.0
82,55,0,2,111,2,1,2,1,106,1,1,70,3,3,7,4,1,18092,3,0,14,3,4,1,24,4,3,1,0,0,6091.0
83,38,0,0,573,1,6,3,3,107,2,0,79,1,2,6,4,0,15717,7,1,12,3,4,3,17,3,3,13,11,9,5456.333333333333
84,34,0,2,1153,1,1,2,3,110,1,1,94,3,2,4,2,1,17736,1,0,15,3,3,0,5,2,3,5,2,3,6327.666666666667
85,56,0,2,1400,1,7,3,1,112,4,1,49,1,3,4,4,2,21698,4,0,11,3,1,0,37,3,2,6,4,2,7715.666666666667
86,23,0,2,541,2,2,1,5,113,3,1,62,3,1,8,1,0,9518,3,0,13,3,3,1,3,3,3,0,0,0,3373.6666666666665
87,51,0,2,432,1,9,4,1,116,4,1,96,3,1,2,4,1,18725,3,0,23,4,2,2,10,4,3,4,2,3,6417.666666666667
88,30,0,2,288,1,2,3,1,117,3,1,99,2,2,0,4,1,15830,1,0,19,3,1,3,11,3,3,11,10,8,5405.666666666667
89,46,1,2,669,2,9,2,3,118,3,1,64,2,3,7,4,2,13596,1,0,16,3,4,0,9,3,3,9,8,7,4776.333333333333
90,40,0,1,530,1,1,4,1,119,3,1,78,2,4,0,2,1,14115,1,0,22,4,4,1,22,3,2,22,3,11,4907.666666666667
91,51,0,2,632,2,21,4,2,120,3,1,71,3,2,7,4,2,8423,0,1,22,4,4,0,11,2,1,10,7,0,3042.0
92,30,0,2,1334,2,4,2,3,121,3,0,63,2,2,7,2,0,19760,1,1,12,3,2,3,11,4,2,11,8,7,7052.333333333333
93,46,0,1,638,1,1,3,3,124,3,1,40,2,3,0,1,1,3142,2,1,13,3,3,1,21,5,2,10,9,5,1273.3333333333333
94,32,0,2,1093,2,6,4,3,125,2,1,87,3,2,7,3,2,24301,1,0,16,3,1,0,12,0,3,11,8,7,8493.666666666666
95,54,0,2,1217,1,2,4,5,126,1,0,60,3,3,5,3,1,24001,9,0,12,3,1,1,16,5,1,4,3,3,8426.0
96,24,0,2,1353,2,3,2,4,128,1,0,33,3,2,7,3,1,17519,0,0,21,4,1,1,4,2,2,3,2,2,6301.666666666667
97,28,0,0,120,2,4,3,3,129,2,1,43,3,2,7,3,1,8863,1,0,15,3,2,0,5,3,4,5,4,4,3008.6666666666665
98,58,0,2,682,2,10,4,3,131,4,1,37,3,4,7,3,2,24409,0,0,13,3,3,0,38,1,2,37,10,8,8376.0
99,44,0,0,489,1,23,3,3,132,2,1,67,3,2,2,2,1,25043,4,0,12,3,3,1,17,3,4,3,2,2,8533.0
100,37,1,2,807,0,6,4,0,133,3,1,63,3,1,1,1,0,23648,4,1,22,4,4,0,7,3,3,3,2,2,8172.666666666667
101,32,0,2,827,1,1,1,1,134,4,1,71,3,1,6,1,2,15178,1,0,13,3,4,0,1,2,3,1,0,0,5358.666666666667
102,20,1,1,871,1,6,3,1,137,4,0,66,2,1,2,4,2,19783,1,1,18,3,2,0,1,5,3,1,0,0,6906.666666666667
103,34,0,2,665,1,6,4,4,138,1,0,41,3,2,6,3,2,12482,1,0,14,3,3,0,16,3,3,16,13,10,4396.0
104,37,0,0,1040,1,2,2,1,139,3,1,100,2,2,0,4,0,15850,5,0,14,3,4,1,17,2,4,1,0,0,5663.333333333333
105,59,0,0,1420,0,2,4,0,140,3,0,32,2,5,3,4,1,21922,9,0,21,4,4,1,30,3,3,3,2,2,7791.333333333333
106,50,0,1,1115,1,1,3,1,141,1,0,73,3,5,5,2,1,9755,3,1,19,3,1,0,28,1,2,8,3,7,3647.6666666666665
107,25,1,2,240,2,5,3,2,142,3,1,46,2,2,7,3,2,26959,1,1,11,3,4,0,6,1,3,6,4,3,9081.666666666666
108,25,0,2,1280,1,7,1,3,143,4,1,64,2,1,6,4,1,26897,1,0,11,3,3,2,2,2,3,2,2,1,9413.666666666666
109,22,0,2,534,1,15,3,3,144,2,0,59,3,1,2,4,2,23785,1,0,15,3,3,0,1,5,3,0,0,0,8126.0
110,51,0,1,1456,1,1,4,3,145,1,0,30,2,3,0,1,2,25796,3,0,20,4,3,0,23,1,2,13,12,8,9094.0
111,34,1,1,658,1,7,3,1,147,1,1,66,1,2,2,3,2,22887,1,1,24,4,4,0,9,3,3,9,7,6,7870.333333333333
112,54,0,0,142,0,26,3,0,148,4,0,30,4,4,3,4,2,13871,2,1,12,3,3,0,23,3,3,5,3,4,4681.0
113,24,0,2,1127,1,18,1,1,150,2,1,52,3,1,2,3,1,13257,0,0,12,3,3,1,6,2,3,5,3,2,4812.0
114,34,0,2,1031,1,6,4,1,151,3,0,45,2,2,6,2,0,15000,6,0,15,3,3,1,12,3,3,1,0,0,5358.666666666667
115,37,0,2,1189,2,3,3,1,152,3,1,87,3,3,7,4,2,14506,2,0,12,3,1,0,12,3,3,5,3,3,5260.666666666667
116,34,0,2,1354,1,5,3,3,153,3,0,45,2,3,3,1,2,5615,2,0,12,3,4,0,14,6,3,11,10,8,2338.0
117,36,0,1,1467,2,11,2,5,154,2,0,92,3,3,7,4,1,22952,0,0,14,3,3,1,10,6,3,9,7,8,8170.333333333333
