,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_with_curr_manager,rate_avg
0,41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,19479,8,Yes,11,3,1,0,8,0,1,6,4,5,6891.666666666667
1,49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,24907,1,No,23,4,4,1,10,3,3,10,7,7,8415.666666666666
2,37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,1287.0
3,33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,23159,1,Yes,11,3,3,0,8,3,3,8,7,0,8202.333333333334
4,27,No,Travel_Rarely,591,Research & Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,16632,9,No,12,3,4,1,6,3,3,2,2,2,5754.333333333333
5,32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,11864,0,No,13,3,3,0,8,2,2,7,7,6,4316.0
6,59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,3789.6666666666665
7,30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,13335,1,No,22,4,2,1,1,2,3,1,0,0,4920.0
8,38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,8787,0,No,21,4,2,0,10,2,3,9,7,8,3015.6666666666665
9,36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,16577,6,No,13,3,2,2,17,3,2,7,7,7,5990.0
10,35,No,Travel_Rarely,809,Research & Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,16479,0,No,13,3,3,1,6,5,3,5,4,3,5790.666666666667
11,29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,12682,0,Yes,12,3,4,0,10,3,3,9,5,8,4294.666666666667
12,31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,15170,1,No,17,3,4,1,5,1,2,5,2,3,5290.333333333333
13,34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,8758,0,No,11,3,3,1,3,2,3,2,2,2,3399.0
14,28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,12947,5,Yes,14,3,2,0,6,4,3,4,2,3,4366.666666666667
15,29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,10195,1,No,11,3,3,1,10,1,3,10,9,8,3878.3333333333335
16,32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,15053,0,Yes,12,3,4,2,7,5,2,6,2,5,5155.666666666667
17,22,No,Non-Travel,1123,Research & Development,16,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,2847.6666666666665
18,53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,22021,2,No,16,3,3,0,31,3,3,25,8,7,7772.666666666667
19,38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,4306,5,Yes,11,3,3,0,6,3,3,3,2,2,1574.0
20,24,No,Non-Travel,673,Research & Development,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,8232,0,No,18,3,4,1,5,5,2,4,2,3,3000.3333333333335
21,36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,6986,7,No,23,4,2,0,10,4,3,5,3,3,2762.0
22,34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,21293,0,No,11,3,3,0,13,4,3,12,6,11,7255.0
23,21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,19281,1,No,14,3,4,0,0,6,3,0,0,0,6589.333333333333
24,34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,17102,2,No,11,3,3,0,8,2,3,4,2,3,5961.333333333333
25,53,No,Travel_Rarely,1282,Research & Development,5,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,10735,4,No,11,3,4,1,26,3,2,14,13,8,4025.0
26,32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,4681,1,Yes,22,4,2,0,10,5,3,10,2,7,1959.3333333333333
27,42,No,Travel_Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,21173,0,No,11,3,4,1,10,2,3,9,7,2,7304.0
28,44,No,Travel_Rarely,477,Research & Development,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,2094,3,No,14,3,4,1,24,4,3,22,6,17,871.0
29,46,No,Travel_Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,22822,3,No,12,3,4,0,22,2,2,2,2,1,7870.0
30,33,No,Travel_Rarely,924,Research & Development,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,6670,4,No,11,3,4,0,7,3,3,1,1,0,2557.3333333333335
31,44,No,Travel_Rarely,1459,Research & Development,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,19121,2,Yes,13,3,4,0,9,5,4,4,2,3,6873.666666666667
32,30,No,Travel_Rarely,125,Research & Development,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,16117,1,No,13,3,1,0,10,5,3,10,0,8,5441.666666666667
33,39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,3335,3,No,14,3,3,1,19,6,4,1,0,0,1428.6666666666667
34,24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,3020,2,Yes,16,3,1,1,6,2,2,2,0,0,1298.0
35,43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,21923,1,No,12,3,4,2,6,3,2,5,3,4,7756.0
36,50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,3810,1,Yes,14,3,3,0,3,2,3,3,2,2,1588.3333333333333
37,35,No,Travel_Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,9687,1,No,13,3,1,0,2,3,3,2,2,2,3558.0
38,36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,4668.666666666667
39,33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,3193,2,No,19,3,1,2,10,3,3,5,3,3,1458.6666666666667
40,35,No,Travel_Rarely,464,Research & Development,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,10910,1,No,12,3,3,1,1,3,3,1,0,0,3816.3333333333335
41,27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,19715,1,No,13,3,4,1,1,6,3,1,0,0,6996.0
42,26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,10558,1,No,12,3,3,0,1,2,2,1,0,1,3987.6666666666665
43,27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,2975,1,No,15,3,4,0,9,0,3,9,8,7,1335.3333333333333
44,30,No,Travel_Frequently,721,Research & Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,10781,1,No,23,4,4,0,12,2,3,12,8,7,3853.3333333333335
45,41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,16280,1,No,12,3,4,0,23,0,3,22,15,8,5896.333333333333
46,34,No,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,10034,0,No,20,4,3,0,10,2,3,9,5,7,3723.6666666666665
47,37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,10227,4,No,21,4,1,0,8,1,3,1,0,0,3569.3333333333335
48,46,No,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,20445,4,Yes,21,4,3,0,14,4,3,9,6,8,7251.333333333333
49,35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,4892,1,No,19,3,4,0,1,2,3,1,0,1,2052.3333333333335
50,48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,6672.666666666667
51,28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,4221.0
52,44,No,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,4009,5,Yes,21,4,3,1,9,2,2,4,3,3,1857.3333333333333
53,35,No,Non-Travel,1097,Research & Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,8302,2,Yes,13,3,3,1,10,3,3,4,0,3,3159.3333333333335
54,26,No,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,7642.0
55,33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,15146,1,Yes,12,3,3,0,15,1,3,15,14,12,5253.0
56,35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,11031,1,No,22,4,4,1,9,3,2,9,8,8,3985.0
57,35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,5724.666666666667
58,31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,9528,3,No,22,4,4,1,10,3,2,7,7,7,3410.3333333333335
59,37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,2689,1,No,18,3,3,1,7,2,4,7,5,7,1285.0
60,32,No,Travel_Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,10877,1,Yes,22,4,2,1,9,3,3,9,8,8,3779.0
61,38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,5456,1,No,11,3,4,0,10,2,3,10,3,9,2053.0
62,50,No,Travel_Rarely,989,Research & Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,16701,5,Yes,12,3,4,1,29,2,2,27,3,8,5911.0
63,59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,2354,7,No,11,3,4,0,28,3,2,21,16,9,1296.0
64,36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,8202,1,No,13,3,2,3,17,2,3,17,14,8,3161.3333333333335
65,55,No,Travel_Rarely,836,Research & Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,19730,2,Yes,14,3,3,3,21,2,3,5,0,2,6866.333333333333
66,36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,22656,1,No,13,3,3,0,6,3,3,6,5,3,7982.0
67,45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,18787,2,No,17,3,3,1,25,2,3,1,0,0,6728.333333333333
68,35,No,Travel_Frequently,664,Research & Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,5868,4,No,13,3,4,1,5,2,2,3,2,2,2203.6666666666665
69,36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,7391.333333333333
70,59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,24668,7,No,11,3,4,0,20,2,2,4,3,3,8650.0
71,29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,4956,0,No,23,4,4,1,6,3,3,5,4,4,2120.0
72,31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,18775,1,No,17,3,2,0,1,4,3,1,1,0,6648.0
73,32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,7346,1,No,17,3,2,2,10,3,3,10,4,9,2653.3333333333335
74,36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,22002,3,No,12,3,2,0,5,3,3,1,0,0,7396.333333333333
75,31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,20682,1,No,23,4,4,0,11,2,3,11,7,8,7163.0
76,35,No,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,23016,0,No,14,3,2,0,16,2,3,15,13,8,7941.333333333333
77,45,No,Travel_Rarely,193,Research & Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,5104.0
78,37,No,Travel_Rarely,397,Research & Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,25258,4,No,13,3,1,0,16,3,4,5,2,2,8561.666666666666
79,46,No,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,10425,8,Yes,22,4,4,1,16,2,3,4,2,2,3816.6666666666665
80,30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,15998,1,Yes,12,3,3,2,10,1,2,10,8,0,5635.0
81,35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,26278,1,No,18,3,1,0,6,3,3,6,4,4,9174.0
82,55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,18092,3,No,14,3,4,1,24,4,3,1,0,0,6091.0
83,38,No,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,15717,7,Yes,12,3,4,3,17,3,3,13,11,9,5456.333333333333
84,34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,17736,1,No,15,3,3,0,5,2,3,5,2,3,6327.666666666667
85,56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,21698,4,No,11,3,1,0,37,3,2,6,4,2,7715.666666666667
