age,daily_rate,distance_from_home,education,employee_number,environment_satisfaction,hourly_rate,job_involvement,job_level,job_satisfaction,monthly_rate,num_companies_worked,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_with_curr_manager,rate_avg,business_travel_non-_travel,business_travel_travel_frequently,business_travel_travel_rarely,department_human_resources,department_research&_development,department_sales,education_field_human_resources,education_field_life_sciences,education_field_marketing,education_field_medical,education_field_other,education_field_technical_degree,gender_female,gender_male,job_role_healthcare_representative,job_role_human_resources,job_role_laboratory_technician,job_role_manager,job_role_manufacturing_director,job_role_research_director,job_role_research_scientist,job_role_sales_executive,job_role_sales_representative,marital_status_divorced,marital_status_married,marital_status_single,over_time_no,over_time_yes,attrition
41,1102,1,2,1,2,94,3,2,4,19479,8,11,3,1,0,8,0,1,6,4,5,6891.666667,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
49,279,8,1,2,3,61,2,2,2,24907,1,23,4,4,1,10,3,3,10,7,7,8415.666667,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
37,1373,2,2,4,4,92,2,1,3,2396,6,15,3,2,0,7,3,3,0,0,0,1287,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
33,1392,3,4,5,4,56,3,1,3,23159,1,11,3,3,0,8,3,3,8,7,0,8202.333333,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
27,591,2,1,7,1,40,3,1,2,16632,9,12,3,4,1,6,3,3,2,2,2,5754.333333,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
32,1005,2,2,8,4,79,3,1,4,11864,0,13,3,3,0,8,2,2,7,7,6,4316,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
59,1324,3,3,10,3,81,4,1,1,9964,4,20,4,1,3,12,3,2,1,0,0,3789.666667,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
30,1358,24,1,11,4,67,3,1,3,13335,1,22,4,2,1,1,2,3,1,0,0,4920,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
38,216,23,3,12,4,44,2,3,3,8787,0,21,4,2,0,10,2,3,9,7,8,3015.666667,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
36,1299,27,3,13,3,94,3,2,3,16577,6,13,3,2,2,17,3,2,7,7,7,5990,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
