age,daily_rate,distance_from_home,education,employee_number,environment_satisfaction,hourly_rate,job_involvement,job_level,job_satisfaction,monthly_rate,num_companies_worked,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_with_curr_manager,business_travel_non-_travel,business_travel_travel_frequently,business_travel_travel_rarely,department_human _resources,department_research & _development,department_sales,education_field_human _resources,education_field_life _sciences,education_field_marketing,education_field_medical,education_field_other,education_field_technical _degree,gender_female,gender_male,job_role_healthcare _representative,job_role_human _resources,job_role_laboratory _technician,job_role_manager,job_role_manufacturing _director,job_role_research _director,job_role_research _scientist,job_role_sales _executive,job_role_sales _representative,marital_status_divorced,marital_status_married,marital_status_single,over_time_no,over_time_yes,attrition,rate_avg
41,1102,1,2,1,2,94,3,2,4,19479,8,11,3,1,0,8,0,1,6,4,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,6891.67
49,279,8,1,2,3,61,2,2,2,24907,1,23,4,4,1,10,3,3,10,7,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,8415.67
37,1373,2,2,4,4,92,2,1,3,2396,6,15,3,2,0,7,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1287.0
33,1392,3,4,5,4,56,3,1,3,23159,1,11,3,3,0,8,3,3,8,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,8202.33
27,591,2,1,7,1,40,3,1,2,16632,9,12,3,4,1,6,3,3,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5754.33
32,1005,2,2,8,4,79,3,1,4,11864,0,13,3,3,0,8,2,2,7,7,6,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4316.0
59,1324,3,3,10,3,81,4,1,1,9964,4,20,4,1,3,12,3,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3789.67
30,1358,24,1,11,4,67,3,1,3,13335,1,22,4,2,1,1,2,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4920.0
38,216,23,3,12,4,44,2,3,3,8787,0,21,4,2,0,10,2,3,9,7,8,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3015.67
36,1299,27,3,13,3,94,3,2,3,16577,6,13,3,2,2,17,3,2,7,7,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5990.0
35,809,16,3,14,1,84,4,1,2,16479,0,13,3,3,1,6,5,3,5,4,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5790.67
29,153,15,2,15,4,49,2,2,3,12682,0,12,3,4,0,10,3,3,9,5,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4294.67
31,670,26,1,16,1,31,3,1,3,15170,1,17,3,4,1,5,1,2,5,2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5290.33
34,1346,19,2,18,2,93,3,1,4,8758,0,11,3,3,1,3,2,3,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3399.0
28,103,24,3,19,3,50,2,1,3,12947,5,14,3,2,0,6,4,3,4,2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4366.67
29,1389,21,4,20,2,51,4,3,1,10195,1,11,3,3,1,10,1,3,10,9,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3878.33
32,334,5,2,21,1,80,4,1,2,15053,0,12,3,4,2,7,5,2,6,2,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5155.67
22,1123,16,2,22,4,96,4,1,4,7324,1,13,3,2,2,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2847.67
53,1219,2,4,23,1,78,2,4,4,22021,2,16,3,3,0,31,3,3,25,8,7,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7772.67
38,371,2,3,24,4,45,3,1,4,4306,5,11,3,3,0,6,3,3,3,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1574.0
24,673,11,2,26,1,96,4,2,3,8232,0,18,3,4,1,5,5,2,4,2,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3000.33
36,1218,9,4,27,3,82,2,1,1,6986,7,23,4,2,0,10,4,3,5,3,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2762.0
34,419,7,4,28,1,53,3,3,2,21293,0,11,3,3,0,13,4,3,12,6,11,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,7255.0
21,391,15,2,30,3,96,3,1,4,19281,1,14,3,4,0,0,6,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,6589.33
34,699,6,1,31,2,83,3,1,1,17102,2,11,3,3,0,8,2,3,4,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,5961.33
53,1282,5,3,32,3,58,3,5,3,10735,4,11,3,4,1,26,3,2,14,13,8,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4025.0
32,1125,16,1,33,2,72,1,1,1,4681,1,22,4,2,0,10,5,3,10,2,7,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1959.33
